epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
69,14238.1,0.86601,0.83168,0.96158,0.61424,0.003268,0.003268,0.003268
70,14442.7,0.85617,0.83156,0.96214,0.61378,0.003169,0.003169,0.003169
71,14646,0.84235,0.832,0.96202,0.60983,0.00307,0.00307,0.00307
72,14852.5,0.82241,0.83255,0.96194,0.60835,0.002971,0.002971,0.002971
73,15058.5,0.81426,0.83331,0.96198,0.60728,0.002872,0.002872,0.002872
74,15264.3,0.79988,0.83366,0.9625,0.60847,0.002773,0.002773,0.002773
75,15469.4,0.78253,0.8343,0.96253,0.60536,0.002674,0.002674,0.002674
76,15676.4,0.76827,0.83469,0.96242,0.60427,0.002575,0.002575,0.002575
77,15882.8,0.75404,0.83497,0.96226,0.60544,0.002476,0.002476,0.002476
78,16086.6,0.74136,0.83556,0.96198,0.60251,0.002377,0.002377,0.002377
79,16291.9,0.72679,0.83659,0.96202,0.60338,0.002278,0.002278,0.002278
80,16497.7,0.70876,0.83735,0.96178,0.60129,0.002179,0.002179,0.002179
81,16702.8,0.69595,0.8375,0.9619,0.6005,0.00208,0.00208,0.00208
82,16906.5,0.67996,0.83659,0.96226,0.60094,0.001981,0.001981,0.001981
83,17109.5,0.66514,0.83719,0.9623,0.60016,0.001882,0.001882,0.001882
84,17313.1,0.64959,0.83691,0.96182,0.60223,0.001783,0.001783,0.001783
85,17522.6,0.63061,0.83695,0.9623,0.6002,0.001684,0.001684,0.001684
86,17735.1,0.61654,0.83727,0.9625,0.59971,0.001585,0.001585,0.001585
87,17942.9,0.59646,0.83758,0.9625,0.59968,0.001486,0.001486,0.001486
88,18148.6,0.58213,0.83715,0.96253,0.60092,0.001387,0.001387,0.001387
89,18358.9,0.56307,0.83679,0.96281,0.60042,0.001288,0.001288,0.001288
90,18576.1,0.55076,0.83747,0.96293,0.60391,0.001189,0.001189,0.001189
91,18832.1,0.53537,0.83735,0.96289,0.60103,0.00109,0.00109,0.00109
92,19049,0.5166,0.83691,0.96309,0.60125,0.000991,0.000991,0.000991
93,19266.7,0.4956,0.83679,0.96309,0.60179,0.000892,0.000892,0.000892
94,19481.9,0.49001,0.83683,0.96317,0.60224,0.000793,0.000793,0.000793
95,19697.9,0.47293,0.83632,0.96309,0.60248,0.000694,0.000694,0.000694
96,19912.8,0.45336,0.83624,0.96329,0.60372,0.000595,0.000595,0.000595
97,20150.9,0.43651,0.83596,0.96341,0.60508,0.000496,0.000496,0.000496
98,20367.7,0.42725,0.8362,0.96325,0.60429,0.000397,0.000397,0.000397
99,20572.4,0.40965,0.83636,0.96289,0.60518,0.000298,0.000298,0.000298
100,20775.6,0.39492,0.83628,0.96285,0.60623,0.000199,0.000199,0.000199
